ГлубинаМанометра	Dшт	Руст	Рзаб	Pлин	РустКР	РзабКР	PлинКР	Туст	ТНаШлейфе	Тзаб	Tлин	ДебитГазаСУ	ДебитСтКонд	ДебитВодыСУ	ДебитГазаЛУ	ДебитКонНест	ДебитВодыЛУ	Нэф	РплТекПТ	РплТекР	РплТекКарноухов	PсбАтм	PсбБар	Rog	Roc	Row	УдельнаяПлотностьГаза	Gtotal	КГФ
4010.0	7.94	465.7	363.2	109.1	465.7	362.0	102.4	43.8	19.1	19.5	110.6	360.6	66.8	0.22	2305.1	113.2	0.2	41.4	47.5	58.1	 	92	90.40		797		0.653		148
4010.0	9.5	419.7	315.0	101.5	419.7	315.0	102.2	55.4	27.9	27.0	111.0	446.8	78.2	0.37	3470.3	128.5	0.3	41.4	47.5	58.1	 	91	89.61		797		0.653		139
4010.0	11.1	377.2	275.0	107.1	377.2	275.0	96.9	60.9	36.3	35.1	110.9	517.8	89.6	0.56	4195.8	143.6	0.6	41.4	47.5	58.1	 	88	86.85		797		0.653		138
4010.0	12.7	335.8	234.0	107.2	335.8	234.0	107.0	63.5	41.6	42.0	110.7	583.2	87.4	0.95	4725.7	152.8	1.1	41.4	47.5	58.1	 	89	87.34		797		0.653		119
4010.0	14.29	301.2	200.9	106.2	301.2	198.0	106.1	63.9	45.9	46.0	110.4	615.6	87.6	1.22	5171.1	145.9	1.3	41.4	47.5	58.1	 	88	86.85		797		0.653		113
4010.0	15.87	277.8	188.6	106.7	277.8	186.0	106.8	63.0	48.6	47.9	110.2	610.4	85.7	1.59	5200.2	133.7	1.6	41.4	47.5	58.1	 	88	87.05		797		0.653		112
4013.0	9.53	220.3	162.0	96.0		162.0	95.9	46.0	28.9	28.8	107.7	229.3	28.4	1.69	1902.1	46.1	1.8	41.4	30.4	57.3	56.8	93	91.98		777.6		0.653		96
4013.0	11.11	204.7	147.1	96.4		146.0	96.8	50.0	36.5	36.0	107.6	275.6	28.2	2.85	2421.8	43.9	2.9	41.4	30.4	57.3	56.8	94	92.67		777.6		0.653		80
4013.0	12.70	191.8	136.5	94.2		136.0	93.4	51.0	40.1	40.1	107.4	295.1	26.5	3.96	2689.3	41.4	4.1	41.4	30.4	57.3	56.8	92	90.90		777.6		0.653		70
4013.0	14.29	168.1	115.4	86.5		114.0	84.2	52.0	44.1	44.5	107.4	316.2	23.6	4.33	3228.6	37.0	4.6	41.4	30.4	57.3	56.8	86	84.88		777.6		0.653		58
